,Title,published_date,Views,Likes,Comments,Month
221,YAAR YEH PEHELE HI USE KAR LENA THA !!,2022-01-16,304475,29604,304475,Jan
222,SHE HAS STARTED TO REACT ALOT !!,2022-01-14,321804,32048,321804,Jan
223,TRYING TO BE A GOOD DAD | 1 successful month,2022-01-13,246426,28057,246426,Jan
224,"Everyone loves Tim hortons. Chai , coffee , tapri. #shorts",2022-01-13,77551,8747,77551,Jan
225,SHADHI KO EK SAAL BHI HOGAYE !!,2022-01-12,311604,32054,311604,Jan
226,-28 mai Phas gaya Mumbaiker,2022-01-11,278508,29317,278508,Jan
227,SKYU’s FIRST VISIT TO GURUDWARA 🙏🏻,2022-01-10,334257,34568,334257,Jan
228,ISKO SAB PATA CHALTA HAI | FLIGHT TICKET KI BOOKING,2022-01-09,395111,38650,395111,Jan
229,PEHELA FINE LAG GAYA | AUR SAB BAND HONA SHURU,2022-01-08,365036,33570,365036,Jan
230,Baby ki Active sleeping and Deep sleeping. #shorts,2022-01-07,233169,18899,233169,Jan
231,ISKO BOLTEY HAI KISMAT | FINALLY FOUND IT,2022-01-06,400810,37445,400810,Jan
232,SHOWING HER FACE ?| MUMBAI UPDATE | PHOTOSHOOT,2022-01-05,555739,45183,555739,Jan
233,SKYU KA PASSPORT KA KAAM SHURU HOTEY HI PROBLEM !!,2022-01-04,362456,34952,362456,Jan
234,Jab bahar -10 aur andar 28 degrees,2022-01-03,266455,15111,266455,Jan
235,2022 MAI PURI LIFE BADALJAYEGI !!!,2022-01-02,328752,35182,328752,Jan
236,WELCOMING 2022 WITH MY WIFE AND DAUGHTER,2022-01-01,339144,34037,339144,Jan
237,BETI HONE KI KUSHI MAI BIWI KO MEHENGA GIFT ..,2021-12-31,405244,40910,405244,Dec
238,Stroller ne zindagi asaan kar di!,2021-12-31,138793,12770,138793,Dec
239,HUM INDIAN JUGAAD LAGA LETE HAI..,2021-12-30,370565,36563,370565,Dec
240,MUMBAI MAI BAGS BHEJNA SHURU ..,2021-12-29,437774,42443,437774,Dec
241,RAW AND REAL | Making her reaction videos,2021-12-27,447107,49013,447107,Dec
242,SKYU'S FIRST CHRISTMAS And Muh Dikhai for friends !!,2021-12-26,543165,47588,543165,Dec
243,Iske help se you can talk in any language.,2021-12-26,153778,15023,153778,Dec
244,HOW MUCH OUR LIFE CHANGED AFTER SKYU ?,2021-12-25,512009,44695,512009,Dec
245,BETI BIKE CHALAYEGI AUR PECHE BHI BAITEGI !!,2021-12-24,416625,43266,416625,Dec
246,OUR BABY'S NAME IS..,2021-12-23,720222,69673,720222,Dec
247,Rayban ka smart glasses,2021-12-22,270835,21153,270835,Dec
248,GETTING THE VENUE FOR DOCUMENTATION WORK,2021-12-22,534262,55848,534262,Dec
249,TIME TO TAKE THE BABY HOME ..,2021-12-21,711911,76868,711911,Dec
250,BREAKS MY HEART TO SEE HER LIKE THIS,2021-12-20,819598,65896,819598,Dec
